interaction,interactionDelta,intent,intentSuccess,stepDelta,step,stepDuration,totalDuration,highlightIngredients,group,interface,recipe,timestamp,session,_id
"unknownKey",11080,"unknown",false,0,4,239604,2266029,true,2,"sbs","eggs","2014-12-07T18:46:29.593Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5484a0857f671a49094b48e3)
"unknownKey",15014,"unknown",false,0,4,254618,2281043,true,2,"sbs","eggs","2014-12-07T18:46:44.607Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5484a0947f671a49094b48e4)
"downKey",1053464,"nextStep",true,1,1,1053464,1074315,,3,"responsive","eggs","2014-12-07T18:51:02.221Z","5511517ce047964b623ec6906885690eeacbda56",ObjectID(5484a1957f671a49094b48e5)
"unknownKey",1054438,"unknown",false,0,4,1309056,3335481,true,2,"sbs","eggs","2014-12-07T19:04:19.046Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5484a4b37f671a49094b48e6)
"unknownKey",8,"unknown",false,0,4,1309064,3335489,true,2,"sbs","eggs","2014-12-07T19:04:19.053Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5484a4b37f671a49094b48e7)
"unknownKey",59275,"unknown",false,0,4,1368339,3394764,true,2,"sbs","eggs","2014-12-07T19:05:18.328Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5484a4ee7f671a49094b48e8)
"nextClick",5804,"nextStep",true,1,4,1374143,3400568,true,2,"sbs","eggs","2014-12-07T19:05:24.133Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5484a4f47f671a49094b48e9)
"unknownClick",2703,"unknown",false,0,5,2703,3403271,true,2,"sbs","eggs","2014-12-07T19:05:26.835Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5484a4f67f671a49094b48ea)
"instructionClick",1454113,"setStep",true,1,2,1454113,2528428,,3,"responsive","eggs","2014-12-07T19:15:16.333Z","5511517ce047964b623ec6906885690eeacbda56",ObjectID(5484a7437f671a49094b48eb)
"instructionClick",4169,"setStep",true,1,3,4169,2532597,,3,"responsive","eggs","2014-12-07T19:15:20.502Z","5511517ce047964b623ec6906885690eeacbda56",ObjectID(5484a7477f671a49094b48ec)
"instructionClick",42373,"setStep",true,-2,4,42373,2574970,,3,"responsive","eggs","2014-12-07T19:16:02.875Z","5511517ce047964b623ec6906885690eeacbda56",ObjectID(5484a7717f671a49094b48ed)
"instructionClick",277049,"setStep",true,1,2,277049,2852019,,3,"responsive","eggs","2014-12-07T19:20:39.924Z","5511517ce047964b623ec6906885690eeacbda56",ObjectID(5484a8867f671a49094b48ee)
"instructionClick",330061,"setStep",true,1,3,330061,3182080,,3,"responsive","eggs","2014-12-07T19:26:09.985Z","5511517ce047964b623ec6906885690eeacbda56",ObjectID(5484a9d27f671a49094b48ef)
"unknownKey",7,"unknown",false,0,5,1408434,4809002,true,2,"sbs","eggs","2014-12-07T19:28:52.566Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5484aa747f671a49094b48f0)
"unknownKey",1405724,"unknown",false,0,5,1408427,4808995,true,2,"sbs","eggs","2014-12-07T19:28:52.559Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5484aa747f671a49094b48f1)
"doneClick",1481,"done",true,0,5,1409915,4810483,true,2,"sbs","eggs","2014-12-07T19:28:54.047Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5484aa767f671a49094b48f2)
"instructionClick",356597,"setStep",true,1,4,356597,3538677,,3,"responsive","eggs","2014-12-07T19:32:06.583Z","5511517ce047964b623ec6906885690eeacbda56",ObjectID(5484ab367f671a49094b48f4)
"instructionClick",436865,"setStep",true,-1,5,436865,3975542,,3,"responsive","eggs","2014-12-07T19:39:23.448Z","5511517ce047964b623ec6906885690eeacbda56",ObjectID(5484aceb7f671a49094b48f5)
"doneClick",640266,"done",true,0,4,640266,4615808,,3,"responsive","eggs","2014-12-07T19:50:03.714Z","5511517ce047964b623ec6906885690eeacbda56",ObjectID(5484af6b7f671a49094b48f6)
"startClick",26505,"start",false,1,0,26505,26505,,3,"control","lasagna","2014-12-07T23:28:27.108Z","5511517ce047964b623ec6906885690eeacbda56",ObjectID(5484e29b7f671a49094b48f8)
"startClick",48700,"start",false,1,0,48700,48700,,1,"control","eggs","2014-12-07T23:36:10.581Z","a7eb5180f2e6e2f4d49d743114520acff26d4c7e",ObjectID(5484e46c7f671a49094b48f9)
"unknownClick",1678515,"unknown",false,0,0,1678515,1727215,,1,"control","eggs","2014-12-08T00:04:09.097Z","a7eb5180f2e6e2f4d49d743114520acff26d4c7e",ObjectID(5484eaf97f671a49094b48fa)
"downKey",2759,"nextStep",false,0,0,1681274,1729974,,1,"control","eggs","2014-12-08T00:04:11.855Z","a7eb5180f2e6e2f4d49d743114520acff26d4c7e",ObjectID(5484eafb7f671a49094b48fb)
"downKey",438,"nextStep",false,0,0,1681712,1730412,,1,"control","eggs","2014-12-08T00:04:12.294Z","a7eb5180f2e6e2f4d49d743114520acff26d4c7e",ObjectID(5484eafc7f671a49094b48fc)
"unknownClick",2077603,"unknown",false,0,0,3759315,3808015,,1,"control","eggs","2014-12-08T00:38:49.897Z","a7eb5180f2e6e2f4d49d743114520acff26d4c7e",ObjectID(5484f31a7f671a49094b48fd)
"doneClick",1194,"done",true,0,0,3760509,3809209,,1,"control","eggs","2014-12-08T00:38:51.090Z","a7eb5180f2e6e2f4d49d743114520acff26d4c7e",ObjectID(5484f31b7f671a49094b48fe)
